addressNames,poolholdings
Voting Escrow,905329514.7414219
0x5a52e96bacdabb82fd05763e25335261b270efcb,129000000.00000001
0xf977814e90da44bfa03b6295a0616a897441acec,122609418.25129266
OKEx,55986597.83002665
Curve Vesting Escrow,26545144.188104298
0x88a1493366d48225fc3cefbdae9ebb23e323ade3,25000092.0
0xf89d7b9c864f589bbf53a82105107622b35eaa40,23826147.34781697
0x5dc61282cdcf58a27f7a5c9612aea3d2330964be,20864162.263499998
0x3a5cc8689d1b0cef2c317bc5c0ad6ce88b27d597,19931827.561165575
0x0e33be39b13c576ff48e14392fbf96b02f40cd34,18402434.232293397
0xc06f25517e906b7f9b4dec3c7889503bb00b3370,16768548.70196911
0xa3a7b6f88361f48403514059f1f16c8e78d60eec,15975458.408389842
0x4f87ccb72d318a44aba3ec00e2e449535b67f458,14186547.73293641
0x0639556f03714a74a5feeaf5736a4a64ff70d206,14046885.33205305
0xb73d8dce603155e231aad4381a2f20071ca4d55c,13506881.465877749
0x28c6c06298d514db089934071355e5743bf21d60,13494315.216940684
0x5a08e35bf36620d240afa9aa7216f02d94c12e2a,13469764.981918009
0xd14a1db9b2bfe0ce9cc175c24d6b01a16ab84f42,13410129.384838315
0x92adf1e0f678dc26ed6d2206b56243b596aa9b92,13367202.500491891
0x3f08f17973ab4124c73200135e2b675ab2d263d9,13286339.08806568
0x751403aef81415f0165b2dc9325d5266bd888eaa,11905538.570799828
0xe706f1cd12f64dd6064096e8f15c9a211a08f3c9,11795079.9086758
Curve Vesting Escrow,11327043.943138354
0xe30864a464b12b755c072d8d9a3457e6279d444b,10802825.872870054
0x22af984f13dfb5c80145e3f9ee1050ae5a5fb651,10618843.28551291
0x06581812887f920f9f2dac9184db47b453be8eb7,10334728.028478405
0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,9972955.683298443
0xf510dc673c5e4a8c274a98c758fe33fc4838be79,9936637.32240849
0xc420c9d507d0e038bd76383aaadcad576ed0073c,9685455.324067827
0x73cd2394dd4a3b957616057a4bafd63a1f870bc7,8624391.657172225
0x442832b2e1f45dce3e0bf73a791d251cd07ba747,8098678.518480676
0xbe286d574b1ea46f54955bd856821f84dfd20b2e,7900765.29385048
0x7b95ec873268a6bfc6427e7a28e396db9d0ebc65,7888777.395663102
0x9b0c45d46d386cedd98873168c36efd0dcba8d46,7749343.266266529
0xafcd96e580138cfa2332c632e66308eacd45c5da,7550001.0
0x774e1ac5acc3d1454921a8c213367df126503391,7479249.094976221
0x02023c35d221eb4a03bc51b0e55a2d7705f6c52c,7403086.880905306
0xb1c33b391c2569b737ec387e731e88589e8ec148,7193401.775311984
0x8cb5416edbce99aa1caf3e16b594f97272e7b500,6855191.047857928
0xdbb53a6ef7afe05b7b009624fd6101333367372f,6563770.576532391
0xcddac15fb6d70ebad5bf69384081542e5e2701d3,6420871.436538182
0xedc6bacdc1e29d7c5fa6f6eca6fdd447b9c487c9,6396000.0
0xafca625321df8d6a068bdd8f1585d489d2acf11b,6056016.537521653
0x7a1cf8ce543f4838c964fb14d403cc6ed0bdbacc,5550001.0
0xf6182a56a66677cc758ae615be2b69ac9a5c3f78,5547000.088708778
0x3cc936b795a188f0e246cbb2d74c5bd190aecf18,5381503.577725856
0x4866365371e0cdf24ca58d5227dd2cda0b3fe4d8,5204687.06964155
0xcffad3200574698b78f32232aa9d63eabd290703,5101907.435388385
0xd6216fc19db775df9774a6e33526131da7d19a2c,5090897.878286777
